title,description,price,category,images,region,status,seller_id
Ароматный лазанья,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2111.3,Заготовки,"{""https://picsum.photos/seed/61a/800/600"",""https://picsum.photos/seed/61b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лаваш,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,248.3,Салаты,"{""https://picsum.photos/seed/62a/800/600"",""https://picsum.photos/seed/62b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный пельмени,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1717.29,Салаты,"{""https://picsum.photos/seed/63a/800/600"",""https://picsum.photos/seed/63b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический хачапури,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,2325.54,Горячие блюда,"{""https://picsum.photos/seed/64a/800/600"",""https://picsum.photos/seed/64b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лаваш,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",571.5,Салаты,"{""https://picsum.photos/seed/65a/800/600"",""https://picsum.photos/seed/65b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный суп,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,2000.33,Десерты,"{""https://picsum.photos/seed/66a/800/600"",""https://picsum.photos/seed/66b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний морс,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,619.0,Напитки,"{""https://picsum.photos/seed/67a/800/600"",""https://picsum.photos/seed/67b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный котлеты,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,205.61,Горячие блюда,"{""https://picsum.photos/seed/68a/800/600"",""https://picsum.photos/seed/68b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный суп,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2422.19,Супы,"{""https://picsum.photos/seed/69a/800/600"",""https://picsum.photos/seed/69b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский оладьи,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,928.2,Выпечка,"{""https://picsum.photos/seed/70a/800/600"",""https://picsum.photos/seed/70b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный сырники,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,2411.96,Супы,"{""https://picsum.photos/seed/71a/800/600"",""https://picsum.photos/seed/71b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный хачапури,Готовим в день заказа. Можно разогреть и подавать сразу.,962.36,Салаты,"{""https://picsum.photos/seed/72a/800/600"",""https://picsum.photos/seed/72b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сливочный гуляш,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1055.21,Заготовки,"{""https://picsum.photos/seed/73a/800/600"",""https://picsum.photos/seed/73b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный плов,Готовим в день заказа. Можно разогреть и подавать сразу.,153.97,Полуфабрикаты,"{""https://picsum.photos/seed/74a/800/600"",""https://picsum.photos/seed/74b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный лаваш,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2379.86,Салаты,"{""https://picsum.photos/seed/75a/800/600"",""https://picsum.photos/seed/75b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный чизкейк,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,1341.74,Завтраки,"{""https://picsum.photos/seed/76a/800/600"",""https://picsum.photos/seed/76b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический торт,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,449.13,Завтраки,"{""https://picsum.photos/seed/77a/800/600"",""https://picsum.photos/seed/77b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный хачапури,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,857.23,Полуфабрикаты,"{""https://picsum.photos/seed/78a/800/600"",""https://picsum.photos/seed/78b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный торт,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1160.24,Заготовки,"{""https://picsum.photos/seed/79a/800/600"",""https://picsum.photos/seed/79b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный компот,Готовим в день заказа. Можно разогреть и подавать сразу.,1189.08,Горячие блюда,"{""https://picsum.photos/seed/80a/800/600"",""https://picsum.photos/seed/80b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный сырники,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",816.9,Заготовки,"{""https://picsum.photos/seed/81a/800/600"",""https://picsum.photos/seed/81b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный котлеты,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,677.91,Горячие блюда,"{""https://picsum.photos/seed/82a/800/600"",""https://picsum.photos/seed/82b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний плов,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,2462.25,Заготовки,"{""https://picsum.photos/seed/83a/800/600"",""https://picsum.photos/seed/83b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный лаваш,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,606.92,Завтраки,"{""https://picsum.photos/seed/84a/800/600"",""https://picsum.photos/seed/84b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический котлеты,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1691.74,Выпечка,"{""https://picsum.photos/seed/85a/800/600"",""https://picsum.photos/seed/85b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический котлеты,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,2039.66,Полуфабрикаты,"{""https://picsum.photos/seed/86a/800/600"",""https://picsum.photos/seed/86b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний лазанья,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,2306.05,Десерты,"{""https://picsum.photos/seed/87a/800/600"",""https://picsum.photos/seed/87b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный компот,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,2471.55,Заготовки,"{""https://picsum.photos/seed/88a/800/600"",""https://picsum.photos/seed/88b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный хачапури,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1152.84,Полуфабрикаты,"{""https://picsum.photos/seed/89a/800/600"",""https://picsum.photos/seed/89b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный морс,Готовим в день заказа. Можно разогреть и подавать сразу.,759.1,Горячие блюда,"{""https://picsum.photos/seed/90a/800/600"",""https://picsum.photos/seed/90b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский морс,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,795.3,Десерты,"{""https://picsum.photos/seed/91a/800/600"",""https://picsum.photos/seed/91b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный суп,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,901.32,Полуфабрикаты,"{""https://picsum.photos/seed/92a/800/600"",""https://picsum.photos/seed/92b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный салат,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1050.13,Закуски,"{""https://picsum.photos/seed/93a/800/600"",""https://picsum.photos/seed/93b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный лаваш,Готовим в день заказа. Можно разогреть и подавать сразу.,927.57,Напитки,"{""https://picsum.photos/seed/94a/800/600"",""https://picsum.photos/seed/94b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний пельмени,Готовим в день заказа. Можно разогреть и подавать сразу.,1065.27,Заготовки,"{""https://picsum.photos/seed/95a/800/600"",""https://picsum.photos/seed/95b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сливочный оладьи,Готовим в день заказа. Можно разогреть и подавать сразу.,163.86,Салаты,"{""https://picsum.photos/seed/96a/800/600"",""https://picsum.photos/seed/96b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический лаваш,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1906.66,Полуфабрикаты,"{""https://picsum.photos/seed/97a/800/600"",""https://picsum.photos/seed/97b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный морс,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,791.4,Напитки,"{""https://picsum.photos/seed/98a/800/600"",""https://picsum.photos/seed/98b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический панна-котта,Готовим в день заказа. Можно разогреть и подавать сразу.,1851.83,Напитки,"{""https://picsum.photos/seed/99a/800/600"",""https://picsum.photos/seed/99b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сливочный лазанья,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2281.28,Заготовки,"{""https://picsum.photos/seed/100a/800/600"",""https://picsum.photos/seed/100b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний пирог,Готовим в день заказа. Можно разогреть и подавать сразу.,468.89,Напитки,"{""https://picsum.photos/seed/101a/800/600"",""https://picsum.photos/seed/101b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний суп,Готовим в день заказа. Можно разогреть и подавать сразу.,919.28,Напитки,"{""https://picsum.photos/seed/102a/800/600"",""https://picsum.photos/seed/102b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный оладьи,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,1917.22,Завтраки,"{""https://picsum.photos/seed/103a/800/600"",""https://picsum.photos/seed/103b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный морс,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1910.21,Выпечка,"{""https://picsum.photos/seed/104a/800/600"",""https://picsum.photos/seed/104b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный пирог,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1922.45,Горячие блюда,"{""https://picsum.photos/seed/105a/800/600"",""https://picsum.photos/seed/105b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний хачапури,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,710.58,Напитки,"{""https://picsum.photos/seed/106a/800/600"",""https://picsum.photos/seed/106b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сливочный пельмени,Готовим в день заказа. Можно разогреть и подавать сразу.,1793.74,Салаты,"{""https://picsum.photos/seed/107a/800/600"",""https://picsum.photos/seed/107b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сливочный хачапури,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1977.81,Закуски,"{""https://picsum.photos/seed/108a/800/600"",""https://picsum.photos/seed/108b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный ризотто,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2332.88,Заготовки,"{""https://picsum.photos/seed/109a/800/600"",""https://picsum.photos/seed/109b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический пельмени,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1541.43,Горячие блюда,"{""https://picsum.photos/seed/110a/800/600"",""https://picsum.photos/seed/110b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный хачапури,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2021.13,Заготовки,"{""https://picsum.photos/seed/111a/800/600"",""https://picsum.photos/seed/111b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный лазанья,Готовим в день заказа. Можно разогреть и подавать сразу.,1704.58,Десерты,"{""https://picsum.photos/seed/112a/800/600"",""https://picsum.photos/seed/112b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный борщ,Готовим в день заказа. Можно разогреть и подавать сразу.,2082.48,Десерты,"{""https://picsum.photos/seed/113a/800/600"",""https://picsum.photos/seed/113b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный компот,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1173.39,Полуфабрикаты,"{""https://picsum.photos/seed/114a/800/600"",""https://picsum.photos/seed/114b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сливочный лазанья,Готовим в день заказа. Можно разогреть и подавать сразу.,1242.45,Заготовки,"{""https://picsum.photos/seed/115a/800/600"",""https://picsum.photos/seed/115b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный котлеты,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",805.48,Напитки,"{""https://picsum.photos/seed/116a/800/600"",""https://picsum.photos/seed/116b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный ризотто,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1720.24,Салаты,"{""https://picsum.photos/seed/117a/800/600"",""https://picsum.photos/seed/117b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный панна-котта,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1295.74,Салаты,"{""https://picsum.photos/seed/118a/800/600"",""https://picsum.photos/seed/118b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный суп,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1797.78,Супы,"{""https://picsum.photos/seed/119a/800/600"",""https://picsum.photos/seed/119b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний гуляш,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,351.19,Завтраки,"{""https://picsum.photos/seed/120a/800/600"",""https://picsum.photos/seed/120b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
